Depth_Target,DateTime_Start,DateTime_End,Depthm,TempC,SpConduScm,ChlorophyllRFU,ChlorophyllugL,BGAPCRFU,BGAPCugL,TurbidityFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,NITRATE_UM,NITRATE_MG,ABS_254,ABS_350,T_INT,T_SPEC,T_LAMP,Presspsia
0,2/16/2019 13:32,2/16/2019 13:33,0.658733333,1.1453,14.90166667,113.1773333,14.75416667,90.0485,251.4851667,2.487333333,69.9065,148.1903333,5.088333333,0.720666667,4.626166667,NA,NA,NA,NA,NA,NA,NA,0.93685
1,2/16/2019 13:34,2/16/2019 13:35,1.5434,2.876083333,14.7,75.62233333,9.836,77.26916667,216.2565,2.035333333,68.6325,145.4748333,2.636666667,0.355666667,4.62,NA,NA,NA,NA,NA,NA,NA,2.195066667
2,2/16/2019 13:36,2/16/2019 13:37,2.476,3.75655,14.8,70.0885,9.111666667,75.313,210.8668333,1.957666667,68.01466667,144.1598333,2.02,0.267166667,4.585,NA,NA,NA,NA,NA,NA,NA,3.5214
3,2/16/2019 13:38,2/16/2019 13:39,3.510566667,3.89345,14.8,70.08333333,9.1105,76.4165,213.907,1.909833333,67.88316667,143.8778333,1.778333333,0.235833333,4.518666667,NA,NA,NA,NA,NA,NA,NA,4.992916667
4,2/16/2019 13:40,2/16/2019 13:41,4.48565,3.951216667,14.81833333,70.90016667,9.217666667,75.48533333,211.34,1.939166667,67.93416667,143.9841667,1.305,0.171,4.435166667,NA,NA,NA,NA,NA,NA,NA,6.379716667
5,2/16/2019 13:42,2/16/2019 13:43,5.4954,4.005516667,15.1,71.197,9.256166667,75.5595,211.5471667,2.002,67.8885,143.8883333,1.418333333,0.185333333,4.42,NA,NA,NA,NA,NA,NA,NA,7.815883333
6,2/16/2019 13:44,2/16/2019 13:45,6.472716667,4.069116667,16,72.36933333,9.4105,76.2165,213.3558333,2.295166667,67.988,144.1003333,1.335,0.174333333,4.441833333,NA,NA,NA,NA,NA,NA,NA,9.205916667
7,2/16/2019 13:46,2/16/2019 13:47,7.47695,4.184166667,19.055,136.3396667,17.78883333,109.8168333,305.9718333,8.351166667,65.03283333,137.7995,1.108333333,0.148,4.558666667,NA,NA,NA,NA,NA,NA,NA,10.63426667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
